user,paymentMethod,taxPrice,shippingPrice,totalPrice,isPaid,paidAt,isDelivered,createdAt,status,orderStatus,customerType,_id
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 13:12:54,Pending Payment,Cancel,Ordinary,256
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 13:10:57,Pending Payment,Cancel,Ordinary,255
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:09:16,Pending Payment,Cancel,Ordinary,254
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:08:50,Pending Payment,Cancel,Ordinary,253
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:06:52,Pending Payment,Cancel,Ordinary,252
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:04:50,Pending Payment,Cancel,Ordinary,251
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:03:39,Pending Payment,Cancel,Ordinary,250
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:03:22,Pending Payment,Cancel,Ordinary,249
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:03:00,Pending Payment,Cancel,Ordinary,248
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 13:02:32,Pending Payment,Cancel,Ordinary,247
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:58,Pending Payment,Cancel,Ordinary,246
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:58,Pending Payment,Cancel,Ordinary,245
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:57,Pending Payment,Cancel,Ordinary,244
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:56,Pending Payment,Cancel,Ordinary,243
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:37,Pending Payment,Cancel,Ordinary,242
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:55:32,Pending Payment,Cancel,Ordinary,241
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:54:06,Pending Payment,Cancel,Ordinary,240
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,11343.50,0,,0,2021-09-04 12:47:19,Pending Payment,Cancel,Ordinary,239
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,324.00,0,,0,2021-09-04 12:45:28,Pending Payment,Cancel,Ordinary,238
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,600.00,651.00,0,,0,2021-09-04 12:45:05,Pending Payment,Cancel,Ordinary,237
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:44:48,Pending Payment,Cancel,Ordinary,236
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:38:31,Pending Payment,Cancel,Ordinary,235
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,327.00,0,,0,2021-09-04 12:35:10,Pending Payment,Cancel,Ordinary,234
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:33:56,Pending Payment,Cancel,Ordinary,233
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,385.40,0,,0,2021-09-04 12:32:55,Pending Payment,Cancel,Ordinary,232
7,"Bank Deposite, Fund Transfer (Online/Offline Payment)",0.00,300.00,38494.00,0,,0,2021-09-04 12:30:59,Pending Payment,Cancel,Ordinary,231
